Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.091178,0.00036326,0.082455,0,0,0,30.279,0.42315,0.0039209,0.057942,0.85937,0.0001452,1.1606,0,0,0,0,0,0,package://success.SLDASM/meshes/base_link.STL,0.64706,0.5098,0,1,0,0,0,0,0,0,package://success.SLDASM/meshes/base_link.STL,,IRB4600_45kg-205_BASE_CAD_rev05-1-1,1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,0.077038,0.02469,0.2407,0,0,0,42.413,1.1125,-0.096893,-0.2993,1.4494,-0.10346,1.16,0,0,0,0,0,0,package://success.SLDASM/meshes/Link1.STL,0.64706,0.5098,0,1,0,0,0,0,0,0,package://success.SLDASM/meshes/Link1.STL,,IRB4600_45kg-205_LINK1_CAD_rev04-1-1,2,22,joint1,revolute,0,0,0.1595,0,0,0,base_link,0,0,-1,0,0,-3.1416,3.1416,,,,,,,,
Link2,-0.0079935,-0.3967,-0.048076,0,0,0,28.081,2.169,-0.041159,-0.0015275,0.16176,-0.073623,2.2483,0,0,0,0,0,0,package://success.SLDASM/meshes/Link2.STL,0.64706,0.5098,0,1,0,0,0,0,0,0,package://success.SLDASM/meshes/Link2.STL,,IRB4600_45kg-205_LINK2_CAD_rev04-1-1,3,33,joint2,revolute,0.175,-0.1225,0.3355,-1.5708,0,0,Link1,0,0,-1,0,0,-1.570796,2.617994,,,,,,,,
Link3,0.040189,-0.11901,0.1985,0,0,0,51.157,1.1331,0.1174,0.073525,1.1398,0.014088,1.387,0,0,0,0,0,0,package://success.SLDASM/meshes/Link3.STL,0.64706,0.5098,0,1,0,0,0,0,0,0,package://success.SLDASM/meshes/Link3.STL,,IRB4600_45kg-205_LINK3_CAD_rev04-1-1,4,44,joint3,revolute,-0.018313,-0.89984,-0.0267,0,0,0,Link2,0,0,1,0,0,-3.1416,1.308997,,,,,,,,
Link4,0.0028465,-0.0019757,0.39313,0,0,0,11.114,0.47936,-2.8908E-05,-0.002287,0.46173,0.0056476,0.053263,0,0,0,0,0,0,package://success.SLDASM/meshes/Link4.STL,0.64706,0.5098,0,1,0,0,0,0,0,0,package://success.SLDASM/meshes/Link4.STL,,IRB4600_45kg-205_LINK4_CAD_rev04-1-1,5,55,joint4,revolute,0.3401,-0.17498,0.1492,1.5708,0,1.5708,Link3,0,0,1,0,0,-6.981317,6.981317,,,,,,,,
Link5,0.0002817,-0.00040031,-0.0034515,0,0,0,1.5027,0.0030276,1.7086E-05,-7.7461E-07,0.0033342,5.1158E-06,0.0031407,0,0,0,0,0,0,package://success.SLDASM/meshes/Link5.STL,0.64706,0.5098,0,1,0,0,0,0,0,0,package://success.SLDASM/meshes/Link5.STL,,IRB4600_45kg-205_LINK5_CAD_rev04-1-1,6z,66z,joint5,revolute,0,0,0.61857,1.5708,-1.5708,0,Link4,0,0,1,0,0,-2.181662,2.094395,,,,,,,,
Link6,-0.00031996,2.2909E-05,0.048345,0,0,0,0.26608,0.00028766,-2.6542E-06,7.8078E-07,0.00028543,7.7706E-08,0.0003766,0,0,0,0,0,0,package://success.SLDASM/meshes/Link6.STL,0.64706,0.5098,0,1,0,0,0,0,0,0,package://success.SLDASM/meshes/Link6.STL,,六连杆+喷枪+夹具-1-1/IRB4600_60kg-205_LINK6_CAD_rev04-1-1,7,77,joint6,revolute,0.066332,0,0,1.5708,0,1.5708,Link5,0,0,1,0,0,-6.981317,6.981317,,,,,,,,
