Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0911932890918684,0.000363208968098766,0.0719644587562096,0,0,0,30.2818624113324,0.42324104577689,0.00392142735894152,0.0579868623484162,0.85947550412857,0.000145370658908216,1.1607705721215,0,0,0,0,0,0,package://ABB4600_urdf/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://ABB4600_urdf/meshes/base_link.STL,,IRB4600_60kg-205_BASE_CAD_rev04-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,0.0758968117601865,0.0280025983981409,0.234699031737896,0,0,0,42.4132582242364,1.12147028275501,-0.111102917614093,-0.294543295169321,1.44041435664796,-0.116325217481024,1.15997847480042,0,0,0,0,0,0,package://ABB4600_urdf/meshes/Link1.STL,1,1,1,1,0,0,0,0,0,0,package://ABB4600_urdf/meshes/Link1.STL,,IRB4600_60kg-205_LINK1_CAD_rev04-1,坐标系2,基准轴2,Joint1,continuous,0,0,0.155,0,0,0,base_link,0,0,-1,3,3,-3,3,,,,,,,,
Link2,0.00122868633094958,0.396773988704683,0.0640753512233016,0,0,0,28.081254917396,2.16966410447276,-0.00553147143154108,-0.000184011944501045,0.160934395101855,-0.0736394569229643,2.24820594763906,0,0,0,0,0,0,package://ABB4600_urdf/meshes/Link2.STL,1,1,1,1,0,0,0,0,0,0,package://ABB4600_urdf/meshes/Link2.STL,,IRB4600_60kg-205_LINK2_CAD_rev04-1,坐标系3,基准轴3,Joint2,continuous,0.17945,-0.098822,0.3295,1.5708,0,0.043315,Link1,0,0,-1,3,3,-3,3,,,,,,,,
Link3,0.0401961431285417,0.119032865127366,-0.185650831272444,0,0,0,51.1585575475068,1.13312203966925,-0.117395942679003,-0.0735200500472539,1.13983455155525,0.0140831637948014,1.38699397598086,0,0,0,0,0,0,package://ABB4600_urdf/meshes/Link3.STL,1,1,1,1,0,0,0,0,0,0,package://ABB4600_urdf/meshes/Link3.STL,,IRB4600_60kg-205_LINK3_CAD_rev04-1,坐标系4,基准轴4,Joint3,continuous,0.0026032,0.9,0.02985,0,0,0,Link2,0,0,-1,3,3,-3,3,,,,,,,,
Link4,0.00197556283085997,0.00244734533440849,0.40173204114897,0,0,0,11.1138588815375,0.461731747775202,2.88649886047068E-05,-0.00564731344771572,0.479366709055523,-0.0022869339509638,0.0532626198131083,0,0,0,0,0,0,package://ABB4600_urdf/meshes/Link4.STL,1,1,1,1,0,0,0,0,0,0,package://ABB4600_urdf/meshes/Link4.STL,,IRB4600_60kg-205_LINK4_CAD_rev04-1,坐标系5,基准轴5,Joint4,continuous,0.3315,0.1746,-0.13635,-1.5718,-1.5708,-1.5687,Link3,0,0,-1,3,3,-3,3,,,,,,,,
Link5,0.00142503334527699,0.000757988042638491,-0.0038223913272131,0,0,0,1.50273005812421,0.00302707610407443,1.15598213132487E-05,-8.67050513965587E-07,0.00333475334542478,5.10042619148529E-06,0.00314069875067256,0,0,0,0,0,0,package://ABB4600_urdf/meshes/Link5.STL,1,1,1,1,0,0,0,0,0,0,package://ABB4600_urdf/meshes/Link5.STL,,IRB4600_60kg-205_LINK5_CAD_rev04-1,坐标系6,基准轴6,Joint5,continuous,-0.00037092,-0.0015764,0.62603,-2.3771,-1.5708,2.3891,Link4,0,0,-1,3,3,-3,3,,,,,,,,
Link6,0.0007643574225491,0.00568229341830251,0.441961274141648,0,0,0,2.40256463130803,0.41712713267946,-1.60005497676363E-06,-0.00071970776139543,0.417133099068414,-0.00606233628376475,0.00258876868978742,0,0,0,0,0,0,package://ABB4600_urdf/meshes/Link6.STL,1,1,1,1,0,0,0,0,0,0,package://ABB4600_urdf/meshes/Link6.STL,,6_X2_8fde6746_X0_+_X2_55b767aa_X0_-1/_X2_67aa_X0_A2-1;6_X2_8fde6746_X0_+_X2_55b767aa_X0_-1/IRB4600_60kg-205_LINK6_CAD_rev04-1,坐标系7,基准轴7,Joint6,continuous,0.073624,0.0025684,-0.00037092,-1.5708,1.1775,-1.5528,Link5,0,0,-1,3,3,-3,3,,,,,,,,
